cluster,entity_type,primary_keyword_he,english_meaning,transliteration,variants,intent,geography,volume,volume_source_date,trend,CPC,KD,SERP_features,current_hea_lth_url,current_rank,competitor_urls,business_value_1_5,medical_risk,proposed_url,url_state,decision,monetization_route,notes
Medical aesthetics,hub,רפואה אסתטית,medical aesthetics,refu'a estetít,טיפולים אסתטיים; אסתטיקה רפואית,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/aesthetic-medicine-treatments/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/aesthetic-medicine-treatments/,existing-linked-not-fetched,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Provider discovery; consultation request; labeled sponsorship,"Required priority query; likely head-term hub, but exact winning page type is DATA REQUIRED."
Medical aesthetics,hub,טיפולים אסתטיים,aesthetic treatments,tipulim estetiyim,רפואה אסתטית; טיפולי פנים אסתטיים,Treatment/procedure education,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/aesthetic-medicine-treatments/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/aesthetic-medicine-treatments/,existing-linked-not-fetched,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Provider discovery; consultation request,Potential synonym/canonical overlap with רפואה אסתטית.
Medical aesthetics,procedure,בוטוקס,Botox,botoks,בוטולינום טוקסין; הזרקת בוטוקס,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/botox-price/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/botox-price/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Provider discovery; consultation request,"Required priority query; current page is price-led, so broad-intent fit must be tested."
Medical aesthetics,price,בוטוקס מחיר,Botox price,botoks mekhir,מחיר בוטוקס; עלות בוטוקס,"Price, cost and financing",Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/botox-price/,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/botox-price/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Qualified lead or consultation; price-observation utility,Required priority query; retain same canonical by default until SERP-overlap evidence says otherwise.
Medical aesthetics,procedure,בוטוקס במצח,forehead Botox,botoks ba-metsakh,בוטוקס למצח; הזרקה במצח,Treatment/procedure education,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/botox-price/,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/botox-price/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Provider discovery; consultation request,Likely section/FAQ or child page only if SERP and unique-value evidence justify.
Medical aesthetics,procedure,בוטוקס בין הגבות,glabellar Botox,botoks bein ha-gabot,בוטוקס לקמטי זעף,Treatment/procedure education,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/botox-price/,DATA REQUIRED,DATA REQUIRED,"3 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/botox-price/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Provider discovery; consultation request,Default to section until distinct intent is proven.
Medical aesthetics,procedure,בוטוקס בצידי העיניים,crow's-feet Botox,botoks be-tsidei ha-einayim,בוטוקס קמטי צחוק,Treatment/procedure education,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",/botox-price/,DATA REQUIRED,DATA REQUIRED,"3 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/botox-price/,existing-public,"keep-improve pending crawl, GSC, backlink, content-equivalence and SERP-overlap audit",Provider discovery; consultation request,Default to section until distinct intent is proven.
Medical aesthetics,procedure,חומצה היאלורונית,hyaluronic acid filler,khumtsa hialuronit,פילר חומצה היאלורונית; הזרקת חומצה היאלורונית,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/hyaluronic-acid-fillers/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Provider discovery; consultation request,"Required priority query; product/ingredient and procedure entities should be separated in ontology, not necessarily URLs."
Medical aesthetics,price,חומצה היאלורונית מחיר,hyaluronic acid filler price,khumtsa hialuronit mekhir,מחיר הזרקת חומצה היאלורונית,"Price, cost and financing",Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/hyaluronic-acid-fillers/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Consultation; price observation,Default to one canonical until SERP overlap supports a separate price page.
Medical aesthetics,procedure,הזרקת חומצה היאלורונית,hyaluronic acid injection,hazrakat khumtsa hialuronit,מילוי בחומצה היאלורונית,Treatment/procedure education,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/hyaluronic-acid-fillers/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Provider discovery; consultation request,Canonical overlap candidate.
Medical aesthetics,procedure,מילוי שפתיים,lip filler,milui sfatayim,עיבוי שפתיים; הזרקה לשפתיים,Treatment/procedure education + provider discovery,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/lip-fillers/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Provider discovery; consultation request,High visual/conversion intent; media consent and outcome-expectation controls required.
Medical aesthetics,price,מילוי שפתיים מחיר,lip filler price,milui sfatayim mekhir,מחיר עיבוי שפתיים,"Price, cost and financing",Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/lip-fillers/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Consultation; price observation,Default same canonical until price SERP is materially distinct.
Medical aesthetics,procedure,פיסול אף ללא ניתוח,non-surgical rhinoplasty,pisul af lelo nituakh,פיסול אף בחומצה היאלורונית,Treatment/procedure education + alternatives,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"5 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/non-surgical-rhinoplasty/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Provider discovery; consultation request,"Must compare risks, duration, limits and surgical alternative without implying suitability."
Medical aesthetics,procedure,סקולפטרה,Sculptra,skulptra,Sculptra; חומצה פולילקטית,Treatment/product education,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/sculptra/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Provider discovery; consultation request,Brand/active-material and procedure relationships require careful claims and current approval/status checks.
Medical aesthetics,procedure,רדיאס,Radiesse,radies,Radiesse; סידן הידרוקסיאפטיט,Treatment/product education,Israel,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,DATA REQUIRED,"DATA REQUIRED — capture Google Israel Hebrew desktop and mobile; include AI Overview, local pack, video, images, ads, shopping, PAA and related searches",NONE CONFIRMED,DATA REQUIRED,DATA REQUIRED,"4 (HYPOTHESIS — validate with demand, supply and unit economics)",M3,/radiesse/,provisional-new,"create candidate; legacy-URL check, localized SERP evidence, unique-value and review-capacity gate required",Provider discovery; consultation request,Brand/device/ingredient status and claims require official verification.
