page,clicks,impressions,ctr,position
https://hea-lth.co.il/best-cosmetics/,104,"15,186",0.7%,29.9
https://hea-lth.co.il/hair-loss-prevention-treatments-costs/,45,"3,624",1.2%,21.9
https://hea-lth.co.il/hair-transplantation-guide/,42,"5,116",0.8%,31.9
https://hea-lth.co.il/טיפול-בחמצן-במימון-קופת-חולים/,38,"2,717",1.4%,16.5
https://hea-lth.co.il/mount-sinai-health-system/,20,890,2.2%,6.3
https://hea-lth.co.il/טיפולי-אנטי-אייגינג-חדשניים/,16,"2,881",0.6%,17.9
https://hea-lth.co.il/diabetic-foot-ulcer/,16,"2,699",0.6%,27.3
https://hea-lth.co.il/ציוד-רפואי-אסתטיקה-ואנטי-אייגינג/,10,"2,695",0.4%,16.9
https://hea-lth.co.il/טיפול-תא-לחץ-רכישה-השכרה-תא-לחץ-יתרונו/,9,555,1.6%,27.5
https://hea-lth.co.il/mayo-clinic-health-system/,9,304,3%,8.0
https://hea-lth.co.il/הצערת-עור-הפנים-טיפולים-חדשניים-2025-וסקי/,7,"1,514",0.5%,35.7
https://hea-lth.co.il/hospital_network/,7,452,1.5%,14.4
https://hea-lth.co.il/beauty-treatment/,6,"1,850",0.3%,10.5
https://hea-lth.co.il/מרכז-רפואי-שמיר-אסף-הרופא-סקירה/,6,845,0.7%,12.0
https://hea-lth.co.il/university-of-pittsburgh-medical-center/,6,130,4.6%,9.4
https://hea-lth.co.il/סקירת-מוצרי-אנטי-אייגינג-רפואיים/,6,76,7.9%,11.9
https://hea-lth.co.il/רכישת-ציוד-רפואי-מתקדם/,5,"1,489",0.3%,16.2
https://hea-lth.co.il/assuta_medical_center/,5,840,0.6%,20.9
https://hea-lth.co.il/טיפולים-רפואיים-חדשניים/,5,82,6.1%,11.5
https://hea-lth.co.il/singhealth/,5,70,7.1%,14.9
