query,clicks,impressions,ctr,position
טיפול אקסוזומים מחיר,6,252,2.4%,11.7
טיפול בתא לחץ מכבי מחיר,5,142,3.5%,8.1
ביקורות על רימי עאסי,4,6,66.7%,24.5
תא חמצן מכבי,3,149,2%,10.9
קלסקוטרון,3,49,6.1%,4.3
ירון זנתי מחיר,3,21,14.3%,9.6
טיפול במימן מולקולרי מכבי,2,179,1.1%,7.3
תא לחץ מכבי,2,172,1.2%,9.6
טיפולי אנטי אייג ינג מחירים,2,76,2.6%,10.9
בית חולים הר סיני,2,48,4.2%,5.0
סעיד טאהא,2,12,16.7%,19.8
מוצרי פלא חוות דעת,2,3,66.7%,26.7
טיפול בתא לחץ מכבי,1,97,1%,10.6
תא לחץ למכירה,1,92,1.1%,11.9
אסותא מדיקל סנטר,1,84,1.2%,6.0
טיפול באוזון מכבי,1,77,1.3%,8.5
טיפול אוזון,1,58,1.7%,39.4
מה זה hmo קופת חולים,1,47,2.1%,2.1
בית החולים מאונט סיני,1,47,2.1%,6.6
מאונט סיני,1,41,2.4%,7.1
