archetype,reference_models,knowledge_taxonomy,search_discovery,comparison,provider_inventory,availability_booking,reviews_ugc,price_transparency,accounts,commerce_quote,AI,3D_AR,trust_governance,monetization,hea_lth_match,hea_lth_exceed,hea_lth_avoid,build_buy_partner,evidence_status
Authoritative medical knowledge,Mayo Clinic; Cleveland Clinic; NHS; MedlinePlus; MSD Manuals,Deep condition/symptom/test/treatment/drug/service entities with related-topic links,"Internal search, A–Z/topic navigation, task-based pages; exact implementations to audit",Usually educational rather than multi-provider comparison,Owned-system providers for hospital models; none for government references,Owned-system care entry or public-service navigation; varies,Usually limited or absent on editorial content,Usually limited; not the core value proposition,Health-system/member accounts may exist separately,Usually absent,Current public AI features DATA REQUIRED,Media/illustration may exist; current interactive 3D DATA REQUIRED,"Institutional authorship, medical review, corrections, cited sources and update controls are the benchmark questions","Care delivery, public funding, advertising or institutional support depending on model","Entity depth, plain-language summaries, authors/reviewers, evidence and update dates","Hebrew/Israeli terminology, payer routes, transparent decision tools and neutral links to verified supply",Publishing breadth faster than reviewer/evidence capacity; copying institutional prose,Build ontology/editorial workflow; license terminology only after rights review; partner for specialist review,Archetype hypothesis; page/template audit pending Wave 2 and ontology audit Wave 4
Provider marketplace and booking,Zocdoc; Doctolib; Docplanner; Top Doctors; Practo,"Specialty, reason-for-visit, procedure, insurance/payer, location, language and availability entities",Facets plus high-intent specialty/location/service landing pages,"Provider profiles, availability, insurance/payer, languages, experience signals and reviews","Core asset; verification, freshness, ownership, capacity and geographic density determine value","Real-time or request-based scheduling, confirmation, reminders and change/cancellation states","Verified-encounter eligibility, moderation, fraud, dispute and provider-response controls required",Often incomplete; exact service/price and inclusions need structured observations,Patient and professional accounts central,Booking/lead transaction rather than product checkout,Potential navigation/intake/admin support; exact competitor scope DATA REQUIRED,Not core,"License verification, sponsor separation, ranking methodology, review policy, privacy and service-status controls","Provider subscriptions, SaaS, booking/lead fees, labeled sponsorship","Structured provider data, verification, response/availability, booking states and professional dashboard","Israeli registry re-checks, payer-route accuracy, transparent ranking, quality guardrails without unsupported clinical scores","Empty city/specialty doorway pages, pay-to-rank opacity, collecting medical history in first contact",Buy/partner for calendar connectivity and identity verification where credible; build data governance/routing differentiation,Zocdoc discovery baseline only; official audits and Israeli supply interviews pending
Aesthetics/plastic-surgery decision marketplace,RealSelf; MedReviews; Clalit Aesthetics; Estheticare,"Concern, anatomy, procedure, technique, product/device, provider, location, recovery, risk and price entities","Procedure/concern/provider/location, visual discovery and Q&A","Treatments, clinicians, clinics, reviews, price, recovery, suitability and alternatives","Specialist/clinic credentials, privileges, devices, techniques and media rights","Consultation inquiry/booking, often request-based","High-value but high-risk; verified encounters, incentives, editing and dispute controls",High commercial value but methodologically difficult; package scope and variability must be explicit,"Saved research, consultation inquiries, photos/consents only under secure governed workflows",Consultation/lead; selected aftercare products may transact separately,Education/search may be lower risk; outcome prediction is high risk,Potentially valuable patient-specific simulation with strict consent and no-outcome-guarantee controls,"Specialist review, before/after consent, image integrity, advertising disclosure, review authenticity and conflict management","Provider subscriptions/leads, labeled sponsorship, concierge, selected products","Decision depth, visuals, provider discovery, transparent price method and consultation journey","Evidence-linked risk/alternatives, Israeli credential checks, audit trails, unedited-media policy and independent ranking","Outcome promises, manipulated media, undisclosed incentives, generic price claims or unreviewed suitability advice",Build editorial/provider layer; license simulation from governed vendor; partner for clinical media and consent tooling,Archetype hypothesis; official competitor and Israeli legal audits pending
Premium diagnostics and preventive/longevity membership,Prenuvo; Ezra; Function Health; Neko Health; Human Longevity,"Test, biomarker, modality, evidence, indication, limitation, interval, incidental finding, provider and follow-up","Package-led education, condition/risk themes and premium brand acquisition","Tests/packages, evidence, exclusions, locations, turnaround, follow-up and price","Labs, imaging centers, clinicians, care coordinators and referral pathways","Package purchase/booking plus preparation, result and follow-up states",Secondary; requires care because outcomes and clinical claims are sensitive,"Usually package pricing; must specify inclusions, downstream costs and limitations","Longitudinal results, reports, consents and sensitive health data create medical-record-like obligations",Direct package purchase/subscription; may require clinical eligibility/referral,"May summarize or analyze data; validation, oversight and device/regulatory status are critical",Imaging/data visualization may add value; patient-specific analysis is high risk,"Clinical evidence, appropriateness, false positives, incidental findings, escalation, privacy, clinician oversight and claims","Premium package, membership, employer/partner contracts",Transparent evidence/limitations and neutral service comparison before selling coordination,"Israeli payer/referral reality, independent evidence map, downstream pathway and explicit data minimization","Selling broad screening as universally beneficial, overtesting, opaque AI interpretation or unmanaged results repository",Partner with licensed labs/imaging/clinicians; do not build clinical hardware or interpretation engine early,High-risk hypothesis; clinical systematic review and Israeli regulation/supply research pending
AI health navigation or assessment,Ada; Infermedica; K Health; Doctolib AI,"Symptoms, intents, urgency, services, provider capabilities and evidence provenance","Conversational, semantic and guided discovery",Can explain options; must not silently rank clinical choices without validated criteria,Navigation quality depends on fresh structured service/availability data,Administrative scheduling can be lower risk; clinical routing/triage is higher risk,Not core,Can retrieve approved price data; must show provenance/date and uncertainty,Personalization increases sensitivity and consent/security burden,May assist but should not autonomously commit high-risk transactions or share health data,"Core; split lower-risk retrieval/navigation, controlled administration and regulated clinical use",Not core,"Grounding, provenance, human oversight, prompt-injection controls, evaluation, incident reporting and regulatory classification","Enterprise licensing, care delivery, administrative efficiency or conversion assistance","Citation-grounded search, Hebrew synonyms, neutral navigation, content/provider QA","Per-answer provenance, risk-class gating, red-team results, data minimization, model/vendor portability and human escalation","General-purpose LLM diagnosis, triage, treatment or medication advice; autonomous clinical claims",Build retrieval/orchestration and evaluations; buy models as interchangeable components; partner for any regulated clinical engine,Governance baseline supported by WHO/NIST/OWASP; vendor and regulatory audits pending
3D/AR aesthetic and clinical visualization,Crisalix; Canfield VECTRA; model-viewer; glTF; WebXR,"Asset, anatomy, procedure, device, version, source, consent, disclaimer and compatibility metadata","Embedded on education, consultation or equipment pages",Side-by-side anatomy/procedure/device views; patient-specific simulation is distinct,Provider/device integration may be needed,Often supports consultation conversion rather than booking itself,Not core,Not core,"Patient images/models require strong consent, retention, access and deletion controls",3D device inspection may support B2B quote; AR may support eligible product conversion,Optional segmentation/generation; increases validation and privacy risk,Core,"Clinical accuracy, asset provenance, consent, disclaimer, accessibility fallback, performance, device support and liability","Licensed software, provider conversion, product/device sales support",Educational anatomy/procedure and device visualization with fallbacks,"Versioned medically reviewed asset registry, accessible narrative equivalent and measured decision value","Generic AI art, implied outcome guarantees, unconsented face/body processing and heavy assets that damage performance",Build delivery pipeline; license accurate assets/simulation; partner for patient-specific clinical tools,Technical and vendor research pending Wave 7
B2B medical-equipment distribution and marketplace,Henry Schein; McKesson Medical-Surgical; DOTmed,"Category, brand, model, specifications, compatibility, intended use, regulatory documents, condition, service, warranty and supplier","Faceted catalog, account pricing, part/model lookup, wanted listings and procurement content","Specifications, condition, warranty, total cost, service, availability and supplier",Supplier/manufacturer/dealer verification is core,"Quote/RFP, installation/training/service scheduling rather than clinical appointments",Buyer/seller feedback may help but needs fraud/dispute controls,Mixed: checkout for standard items; quote for complex/high-ticket equipment,"Verified professional, organization, procurement roles, teams, budgets and reorder history","Checkout, quote/RFP, leasing, service, parts, trade-in and potentially auctions","Catalog normalization, compatibility assistance and quote triage can be lower risk if grounded",Device inspection/showroom can add value,"Professional eligibility, supplier identity, regulatory status, condition evidence, title, warranty, fraud, tax, installation and service","Subscription, margin, listing, quote/transaction, financing and service-contract revenue","Structured catalog, verified suppliers, quote workflow, service/warranty and professional permissions","Israel-specific regulatory evidence, lifecycle/service data, total-cost comparison and assisted high-ticket transactions","Listing devices without status/docs, unsupported compatibility, unverified used condition or consumer checkout for professional-only products","Build marketplace data/workflows; partner with distributors, finance, logistics and service firms; buy PIM/search components as needed",Official competitor and Israeli supplier/regulatory research pending
Consumer health-device and recovery commerce,Curated retailer/marketplace models; Israeli analogues DATA REQUIRED,"Device/product, intended use, claims, user, contraindications, classification, warranty, installation, consumables and support","Category, problem, brand/model, comparison, reviews and price","Specifications, intended use, evidence, usability, service and total cost",Suppliers/manufacturers plus optional clinician/service partners,"Delivery, installation, training or service scheduling where needed",Verified-purchase plus medical-claim moderation,Checkout categories can show current price; high-risk/complex products may require advice or quote,"Orders, warranties, subscriptions, returns, support and consent where applicable","Owned inventory, marketplace, dropship, affiliate or curated partner depending category",Grounded comparison explanation only; no patient-specific product prescribing,Product inspection/placement where useful,"Classification, approved claims, authenticity, recall/status monitoring, returns, warranty, support and recommendation boundaries","Margin, marketplace fee, affiliate/referral, subscriptions and service","Curated eligible categories, evidence-led comparison and strong aftercare","Product-status ledger, claim moderation, verified support network and knowledge-to-product transparency","Prescription/restricted items, medical recommendations from generic AI, drop-shipping without service or unverified claims",Start curated partner/affiliate or marketplace; own inventory only after demand and operations validate,"Category-by-category Israeli legal, margin and fulfillment research pending Wave 6"
Medication reference and price/availability navigation,GoodRx; official drug indexes; licensed pharmacies,"Drug, active ingredient, strength, form, manufacturer, prescription status, indication, warning, interaction, price/status and source","Drug/ingredient/brand, price, leaflet, shortage and availability",Official price/status and licensed alternatives only within legal/clinical boundaries,Licensed pharmacies and professional guidance pathways,Links/referrals to licensed operators; prescription fulfillment model must be exact,Generally unsuitable for clinical efficacy claims; service reviews require controls,High utility if official/current and methodologically clear,Reminders or saved drugs increase privacy sensitivity; avoid creating medication histories casually,No prescription-drug commerce without exact licensed model; OTC/device categories separately classified,Reference retrieval and plain-language explanation may be possible; medication advice is high risk,Not core,"Official index, current leaflets, prescription/OTC boundary, pharmacy licensing, substitution, shortages, pharmacovigilance and advertising",Licensed partnership/referral or none; conflicts require disclosure,Authoritative reference and licensed navigation,"Hebrew synonym/ingredient graph, source freshness and safety routing","Automated substitutions, dose advice, prescription sales or availability claims without licensed/current data",Use official sources and licensed pharmacy partners; do not build clinical recommendation engine,Israeli official-source and legal model pending Wave 1/6
Israeli payer/HMO/private-service navigation,Maccabi; Clalit and other HMO/SHABAN/private-insurance surfaces,"Plan, benefit, service, provider, eligibility, waiting period, referral, co-pay, reimbursement and document",Member/service/benefit and provider navigation,Cross-plan comparison is valuable but highly time-sensitive and condition-dependent,Network status and payer route are central,Member booking may be integrated; external marketplace requires separate verification,Not core,Co-pays/reimbursement rules may be available but vary,Authenticated member accounts and sensitive records,Insurance/finance sales subject to regulatory and conflict review,Administrative navigation may help only with current sourced rules,Not core,"Official plan documents, effective dates, eligibility, disclaimers, secure authentication and no implied coverage",Membership/insurance/care delivery; Hea-lth monetization must not distort eligibility information,Neutral payer-route explanation and source/date display,"Cross-payer task journeys, document checklist and concierge without collecting excess health data","Guaranteeing reimbursement, outdated benefits, lead routing disguised as neutral coverage advice",Build explanatory layer; partner/integrate only where official data/API/contract exists,Israeli official-source research pending Wave 1
